file,inspection,system_area,related_plan_entries,bytes,lines,sha256
apps/game/client/assets/audio/sfx/ui_interact_near.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5084,0,31a5f67b908214104c609af909401683799dd72774c473c558357be4bcab0552
apps/game/client/assets/audio/sfx/ui_interact_near.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",421,19,a5c8952d27327875b4de10d427097a7ddb53d157a109f140a164fe9beb8c42e9
apps/game/client/assets/audio/sfx/weather_rain_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",154569,0,6f92dff3fabd65a9a4f93998e13eecf62765e41675845738b4051575366eb5cc
apps/game/client/assets/audio/sfx/weather_rain_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",423,19,30fe988aa35fb464fe097854926bb777f49f64023e5fd79772c960aefd5b5ea7
apps/game/client/assets/audio/sfx/weather_wind_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",177657,0,8ffbc906c1866528e8067d2c29e0bcd034e42f8b71331e441d978c180f7bcaf0
apps/game/client/assets/audio/sfx/weather_wind_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",424,19,26db32e7b3633b3eb1df20ce4317da0ced11751529825117edc61baa233c0e14
apps/game/client/assets/audio/sfx/windup_01.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",4849,0,2090600059b51b7e1290dadf94e2d1f497a307af3e6a0d5257f0203a65f29d5e
apps/game/client/assets/audio/sfx/windup_01.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",398,19,b732a84488d917a263dd2cefca0a7c5c41b95eb7d9855d9ef3af3b1cf9f605be
apps/game/client/assets/audio/sfx/windup_blockable.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5114,0,63306e89f30834701d9655f57c860bd2970ebc041f8a1d5863a6ec4b32860fdb
apps/game/client/assets/audio/sfx/windup_blockable.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",420,19,f9e5de77147439f29783061bab429229742fcf3fedf2898c9f9412b14977f233
apps/game/client/assets/audio/sfx/windup_grab.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",7663,0,5a431473a3c5b12d391cc7830539866333abc85fef29c1edb40356a0e465d98c
apps/game/client/assets/audio/sfx/windup_grab.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",406,19,4301cba38e7af316566cfd57cc0fb9717613dc04cbb9d90cf8e3821d4230092e
apps/game/client/assets/audio/sfx/windup_parryable.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",7329,0,6be05da62c99897f8348620ef045fe73f051520472b61e5b4b24dfd2b13c41fd
apps/game/client/assets/audio/sfx/windup_parryable.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",420,19,f8ac7cddffaff8459260dcf4666b1ddfc61f829903c09c7ea29aaf9a6e4ce000
apps/game/client/assets/audio/sfx/windup_unblockable.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",7885,0,0ddbb09b47e8fd0503a232d7780c70a7bfb94865e14705a11e3fc3e44049a8be
apps/game/client/assets/audio/sfx/windup_unblockable.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",427,19,b9725b3edb5be3034701f0ccdca1ec98fe3d9f2fd88eec5dede92e886ba29550
apps/game/client/assets/audio/shared/hub_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",982041,0,fc387b54595d5ae3d889966dbdc1cfea257641b333cc4a39a2df23bfac71232a
apps/game/client/assets/audio/shared/hub_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",402,19,55c6f9d63988651a22e20b953c787e14de6f019f34f54bc0ae00a44b9ba221c6
apps/game/client/assets/audio/shared/sting_boss.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6357,0,a42367601b70a157fd28d401c7cfe5469699c723f33fdc4a42eea4d4baeb8019
apps/game/client/assets/audio/shared/sting_boss.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",406,19,b5d310e8120252d6da782c65b639a99df05e4b79f3cbca20152e08601453fd27
apps/game/client/assets/audio/shared/sting_clear.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5704,0,7fa1d5020f61b93a3b9571c9e5f71aa5deff7215fd6a1a5a35bb28d2265c2b9e
apps/game/client/assets/audio/shared/sting_clear.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",409,19,f05a720a9f72ee4b65d27cb7e9206529bc4e23bbc1f28ad23a84d27f1df82988
apps/game/client/assets/audio/shared/title_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1592888,0,8e4ebbee65c216935b4dfd50fbfbcf49cb51538a9b4ff27b0e113aabdd665549
apps/game/client/assets/audio/shared/title_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",407,19,702fc7d6429909064b634182d65a48c822015418a3482e92c0f9f961c6523408
apps/game/client/assets/audio/umbral_chapel/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",661303,0,6ea51c84256d017314513aef798c43b7201f7c40095ebe7979557d431180b62d
apps/game/client/assets/audio/umbral_chapel/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",420,19,d7c4b7aee4f0275ad0921f712b0355474d2df78b56f840d6fd337420574dca7b
apps/game/client/assets/audio/umbral_chapel/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1062947,0,5a518ccfd42f379dee2f4c8c04aa6d50f2b43cf117cd274267569106f0a29f33
apps/game/client/assets/audio/umbral_chapel/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",411,19,bf324e4d9d2702764feb814caeefbe5f167e9626c121efa892babf4462ee41cc
apps/game/client/assets/audio/umbral_chapel/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",995663,0,6f593bc499216b02914c2bca3945ff2ee35777f177dfd715c587efce2475a8ef
apps/game/client/assets/audio/umbral_chapel/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",414,19,74d8c5570e85f8d65c84cc7b827783897e06f67b20fedc4e77fa028f4fa5e899
apps/game/client/assets/audio/umbral_chapel/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1007098,0,4515843006b6aecf8a354fc2a7a8fae20065d6d8f14a27225baa79913bfc41fe
apps/game/client/assets/audio/umbral_chapel/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",418,19,6cf6c3eb85161ac17606c9985973d29c03f72a1ec4c3ef1e803c008898fc1bd8
apps/game/client/assets/audio/venom_mire/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",680611,0,83ee615a71ac63b614fb2dfb0ae642bc1dee22121d8284b90710a3991555f316
apps/game/client/assets/audio/venom_mire/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",418,19,6630a868dfc2b2efa4b29336a51ea5f2c831a1ae1fa441e2b302b1c284a36d08
apps/game/client/assets/audio/venom_mire/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1082890,0,38bbdc9404c580ed1a16fdeb8dfe27efab23e2651a193ca4c5eb2f097b98d6dd
apps/game/client/assets/audio/venom_mire/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",408,19,5d45b9d9cc0ed8caecd5f11fd12c793cd2752789676df8c81b3260e82b9f12f1
apps/game/client/assets/audio/venom_mire/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1011359,0,2c6bbb0d54a9d46cf8f9909bfd407663fd1fcc7e6f62ba03e46c81498a09bf90
apps/game/client/assets/audio/venom_mire/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",410,19,fb1882539a32bf26ea6bfd354040553088cf0250111f489e45ff301a8cf6a3de
apps/game/client/assets/audio/venom_mire/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",963966,0,797b095029ea85df416feacbcd126cc6c7169f8adc684df44a614c294e159de2
apps/game/client/assets/audio/venom_mire/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",415,19,4d57190fd9f06ba2130d62ddfc018e4d6789eb2a15cea8b45e026a5808e30216
apps/game/client/assets/characters/_intermediate/enemy_biome_castle/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,dbf80d7086e3bf695536196e99c1b1125b85ad1f40c7dd36c03eb7ddb5794bdf
apps/game/client/assets/characters/_intermediate/enemy_biome_castle/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,dbf80d7086e3bf695536196e99c1b1125b85ad1f40c7dd36c03eb7ddb5794bdf
apps/game/client/assets/characters/_intermediate/enemy_biome_castle/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,b0dc17e897841101b73a5cf68c91f79e86e5f7b3b0587bd1ab19ae7e0340c7ac
apps/game/client/assets/characters/_intermediate/enemy_biome_castle/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,2661f8127d79146d3e36aee5ee8e272f705553acbbc3aa79c5109b10ac6e7fce
apps/game/client/assets/characters/_intermediate/enemy_biome_castle/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,2661f8127d79146d3e36aee5ee8e272f705553acbbc3aa79c5109b10ac6e7fce
apps/game/client/assets/characters/_intermediate/enemy_biome_castle/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5772,1,a17212c287da9fed46a849650461d89ce012ab6547e69bab4f2b7572ce149415
apps/game/client/assets/characters/_intermediate/enemy_biome_cathedral/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,fa62289982ba582e07c61d7b6cfb3295ac9d5198c45ae24e0d87a1cfe6f0fdbd
apps/game/client/assets/characters/_intermediate/enemy_biome_cathedral/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,fa62289982ba582e07c61d7b6cfb3295ac9d5198c45ae24e0d87a1cfe6f0fdbd
apps/game/client/assets/characters/_intermediate/enemy_biome_cathedral/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,3ffec5cab631409c42450c24849c43f65e2ffca4d1fd5498cc91ba5db0da1115
apps/game/client/assets/characters/_intermediate/enemy_biome_cathedral/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,e03f6e4bae1d130080c14f7d7e070c0fdca3356d2400c9dda0cb2dac50d16ed6
apps/game/client/assets/characters/_intermediate/enemy_biome_cathedral/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,e03f6e4bae1d130080c14f7d7e070c0fdca3356d2400c9dda0cb2dac50d16ed6
apps/game/client/assets/characters/_intermediate/enemy_biome_cathedral/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5772,1,a16416d2265308f206e26cd5e7ea2e1021499ff65541f895d2d24381729f17f3
apps/game/client/assets/characters/_intermediate/enemy_biome_crystal/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,0962acd799b60821f6ca47362942c4fa6df502a3edcd9941d8ebfb547e2bc057
apps/game/client/assets/characters/_intermediate/enemy_biome_crystal/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,0962acd799b60821f6ca47362942c4fa6df502a3edcd9941d8ebfb547e2bc057
apps/game/client/assets/characters/_intermediate/enemy_biome_crystal/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",10462,1,cc6683fc8e71e21411d903ce2558ef59a74ab9a70a996e6c91492dbc4ecc180a
apps/game/client/assets/characters/_intermediate/enemy_biome_crystal/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,480d3012ce4157893add9541f8337e8b8b415ddd2e2db8a3410d946312f5cdf0
apps/game/client/assets/characters/_intermediate/enemy_biome_crystal/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,480d3012ce4157893add9541f8337e8b8b415ddd2e2db8a3410d946312f5cdf0
apps/game/client/assets/characters/_intermediate/enemy_biome_crystal/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",9838,1,785e2f812015c92cbbee4cef3910ef251f6029439719585ce8c4ac7ce050dfd0
apps/game/client/assets/characters/_intermediate/enemy_biome_frost/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,eda80515bca5d8dbf257d1ef42888cc30beef7bbf735996f405b619d96f1c582
apps/game/client/assets/characters/_intermediate/enemy_biome_frost/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,eda80515bca5d8dbf257d1ef42888cc30beef7bbf735996f405b619d96f1c582
apps/game/client/assets/characters/_intermediate/enemy_biome_frost/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,f57ecf40970c7fea20dfd9f4e2f59e4e74de43a48f8ad580b79a9c9fd6801ef3
apps/game/client/assets/characters/_intermediate/enemy_biome_frost/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,707dffae908c0862f48ce1c4692b4c6cc1b9600c6c75659dfe8e447159f7b6b5
apps/game/client/assets/characters/_intermediate/enemy_biome_frost/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,707dffae908c0862f48ce1c4692b4c6cc1b9600c6c75659dfe8e447159f7b6b5
apps/game/client/assets/characters/_intermediate/enemy_biome_frost/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5868,1,327470c6e8f5b5ff28278e4d4cccc80238c53b8cda026930266a12e8f24c0e10
apps/game/client/assets/characters/_intermediate/enemy_biome_hollow/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,815df3871266ee96d6654a23033a2aa80d33ca51d49704023de7ad1de98cfd4a
apps/game/client/assets/characters/_intermediate/enemy_biome_hollow/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,815df3871266ee96d6654a23033a2aa80d33ca51d49704023de7ad1de98cfd4a
apps/game/client/assets/characters/_intermediate/enemy_biome_hollow/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,5a95d2ecb7dc119045888c5bfdfb1a1bf9c229a70c92fc73f2c40007a27a9b64
apps/game/client/assets/characters/_intermediate/enemy_biome_hollow/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,e846278a04e93e76db8f1e0220858b88b44a5f67bcfac4f96c66df264285093a
apps/game/client/assets/characters/_intermediate/enemy_biome_hollow/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,e846278a04e93e76db8f1e0220858b88b44a5f67bcfac4f96c66df264285093a
apps/game/client/assets/characters/_intermediate/enemy_biome_hollow/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5772,1,784c1ddd4b8f83fa87b2d5bb9acac4b69a7ad8cd65fdd3028d3226995ca8aa91
apps/game/client/assets/characters/_intermediate/enemy_biome_mire/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,fd60f2a38518c19396fc1d238471f4a29022b247e573c05b9cf7da72fcec3f0a
apps/game/client/assets/characters/_intermediate/enemy_biome_mire/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,fd60f2a38518c19396fc1d238471f4a29022b247e573c05b9cf7da72fcec3f0a
apps/game/client/assets/characters/_intermediate/enemy_biome_mire/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,823fb012fba3682509b525e0a5e06f50f5bd1bccffb4cb3a0efbbd2f4f81c217
apps/game/client/assets/characters/_intermediate/enemy_biome_mire/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,71b7848145dcca11a56d1e21ce2c1ba13b0225b46553ad8d4d80a11cc773cb82
apps/game/client/assets/characters/_intermediate/enemy_biome_mire/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,71b7848145dcca11a56d1e21ce2c1ba13b0225b46553ad8d4d80a11cc773cb82
apps/game/client/assets/characters/_intermediate/enemy_biome_mire/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5868,1,ac664a83900a23125d44b04a2d4037a231b7291bd3452daf69b8d31954937526
apps/game/client/assets/characters/_intermediate/enemy_biome_prism/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,f96750ab74d2bda2f5fb2feac0b81c1b7b97c318760f0469c66f22cd9eff569e
apps/game/client/assets/characters/_intermediate/enemy_biome_prism/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,f96750ab74d2bda2f5fb2feac0b81c1b7b97c318760f0469c66f22cd9eff569e
apps/game/client/assets/characters/_intermediate/enemy_biome_prism/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,f4234803af224982e5f730c0f0adb4a56ebe54c6694b3e2c681d59c35824885d
apps/game/client/assets/characters/_intermediate/enemy_biome_prism/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,e11db959e6cb36077eba61e4931917a07062c01fd765eb88cedd7be021b3fe17
apps/game/client/assets/characters/_intermediate/enemy_biome_prism/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,e11db959e6cb36077eba61e4931917a07062c01fd765eb88cedd7be021b3fe17
apps/game/client/assets/characters/_intermediate/enemy_biome_prism/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5868,1,6e93b33d054d12618609ca67991246356980a0ae43a09230fa16fbed9caa0e3a
apps/game/client/assets/characters/_intermediate/enemy_biome_swamp/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,245df9805efc30c3fd3e0511b70caac890427677a527a4c8df99a4d68828277a
apps/game/client/assets/characters/_intermediate/enemy_biome_swamp/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,245df9805efc30c3fd3e0511b70caac890427677a527a4c8df99a4d68828277a
apps/game/client/assets/characters/_intermediate/enemy_biome_swamp/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,eb311a2aadda795e9a38371ee7a4b6a8227f78aee1dbfa31e129a7848139409b
apps/game/client/assets/characters/_intermediate/enemy_biome_swamp/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,cee10487de8012bc362cd0cfa17bdfcc4c1a8a5cece94041ce9a99b9cc5550a9
apps/game/client/assets/characters/_intermediate/enemy_biome_swamp/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,cee10487de8012bc362cd0cfa17bdfcc4c1a8a5cece94041ce9a99b9cc5550a9
apps/game/client/assets/characters/_intermediate/enemy_biome_swamp/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5772,1,3c63dcfd0b3cf639faf79851e1ffd43da67046164b5e15cfb6fe10d7b37e91f2
apps/game/client/assets/characters/_intermediate/enemy_biome_umbral/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,0f20fd64daba55eaa25b834227cd7a482aef21e100aa633c5dce933edda9b63a
apps/game/client/assets/characters/_intermediate/enemy_biome_umbral/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6260,1,0f20fd64daba55eaa25b834227cd7a482aef21e100aa633c5dce933edda9b63a
apps/game/client/assets/characters/_intermediate/enemy_biome_umbral/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",10462,1,83ed825fda4a98fd42f01b188134ad4a97dfe9ef83dcf2aec5899f2611de1d06
apps/game/client/assets/characters/_intermediate/enemy_biome_umbral/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,da71f01e2994b7160e63b0868197c272c465a16aa75431b433914b0abc1e9ed8
apps/game/client/assets/characters/_intermediate/enemy_biome_umbral/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5948,1,da71f01e2994b7160e63b0868197c272c465a16aa75431b433914b0abc1e9ed8
apps/game/client/assets/characters/_intermediate/enemy_biome_umbral/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",9838,1,a5b0ced3faa598000bdcc2dfb88f2f15cb43052aa909f93e1b63cff34ccde717
apps/game/client/assets/characters/_intermediate/enemy_biome_vault/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,c60a6303cf714d960062f1e4a4cd66cf2bef0262ce19ed788d2203164677e8e0
apps/game/client/assets/characters/_intermediate/enemy_biome_vault/arm_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,c60a6303cf714d960062f1e4a4cd66cf2bef0262ce19ed788d2203164677e8e0
apps/game/client/assets/characters/_intermediate/enemy_biome_vault/head.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",6164,1,e24032ef4a40e4de2b8be433782131096b4b99e19bd28c2ca9006592ca7a1354
apps/game/client/assets/characters/_intermediate/enemy_biome_vault/leg_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,aa2a5cefcc122d0f7bc026cec3558c1a2a771b6df4ed7458923411dce95c5bf4
apps/game/client/assets/characters/_intermediate/enemy_biome_vault/leg_r.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5852,1,aa2a5cefcc122d0f7bc026cec3558c1a2a771b6df4ed7458923411dce95c5bf4
apps/game/client/assets/characters/_intermediate/enemy_biome_vault/torso.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5772,1,e6aa6a5de1916258706510cd4e9188b1fa4462a9d1c3a24ff2b3b7e4b927d53b
apps/game/client/assets/characters/_intermediate/enemy_brute/arm_l.mesh.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",5540,1,83f2a7175c8e5a35c50edca37b7103aa785da777f4fd5d976425d580584f873e
